origin_id_pg,destination_id,destination_name,rank_diff,cost_diff,length_diff
1,1,Terrace,0,-0.09,-271.66
1,2,Vancouver,0,-0.09,-903.93
1,3,Mackenzie,0,-0.09,-367.10
1,4,Prince George,0,-0.10,-592.80
1,5,Quesnel,0,-0.09,-751.29
1,6,Williams Lake,0,-0.09,-869.68
1,7,McMahon Gas Plant,0,-0.09,-584.51
1,8,Kamloops,0,-0.09,-894.39
1,9,Castlegar,0,-1.69,-54610.65
1,10,Elkford,0,-0.09,-846.31
2,1,Terrace,0,0.07,668.17
2,2,Vancouver,0,0.06,35.90
2,3,Mackenzie,0,0.06,572.73
2,4,Prince George,0,0.06,347.02
2,5,Quesnel,0,0.06,188.54
2,6,Williams Lake,0,0.06,70.15
2,7,McMahon Gas Plant,0,0.06,355.31
2,8,Kamloops,0,0.06,45.44
2,9,Castlegar,0,-1.54,-53670.82
2,10,Elkford,0,0.06,93.52
3,1,Terrace,0,0.06,623.67
3,2,Vancouver,0,0.05,-8.60
3,3,Mackenzie,0,0.05,528.24
3,4,Prince George,0,0.05,302.52
3,5,Quesnel,0,0.05,144.05
3,6,Williams Lake,0,0.06,25.65
3,7,McMahon Gas Plant,0,0.06,310.81
3,8,Kamloops,0,0.06,0.94
3,9,Castlegar,0,-1.55,-53715.31
3,10,Elkford,0,0.05,49.03
4,1,Terrace,0,0.09,854.60
4,2,Vancouver,0,0.09,222.33
4,3,Mackenzie,0,0.09,759.17
4,4,Prince George,0,0.08,533.46
4,5,Quesnel,0,0.09,374.97
4,6,Williams Lake,0,0.09,256.59
4,7,McMahon Gas Plant,0,0.09,541.75
4,8,Kamloops,0,0.09,231.87
4,9,Castlegar,0,-1.51,-53484.38
4,10,Elkford,0,0.09,279.96
5,1,Terrace,0,0.09,836.79
5,2,Vancouver,0,0.08,204.53
5,3,Mackenzie,0,0.09,741.36
5,4,Prince George,0,0.08,515.66
5,5,Quesnel,0,0.08,357.17
5,6,Williams Lake,0,0.09,238.78
5,7,McMahon Gas Plant,0,0.09,523.95
5,8,Kamloops,0,0.09,214.06
5,9,Castlegar,0,-1.52,-53502.19
5,10,Elkford,0,0.09,262.15
7,1,Terrace,0,0.13,1121.71
7,2,Vancouver,0,0.13,489.44
7,3,Mackenzie,0,0.14,1026.28
7,4,Prince George,0,0.13,800.57
7,5,Quesnel,0,0.13,642.09
7,6,Williams Lake,0,0.13,523.70
7,7,McMahon Gas Plant,0,0.13,808.86
7,8,Kamloops,0,0.13,498.98
7,9,Castlegar,0,-1.47,-53217.27
7,10,Elkford,0,0.14,547.07
6,1,Terrace,0,0.13,1090.40
6,2,Vancouver,0,0.13,458.13
6,3,Mackenzie,0,0.13,994.97
6,4,Prince George,0,0.13,769.26
6,5,Quesnel,0,0.13,610.77
6,6,Williams Lake,0,0.13,492.38
6,7,McMahon Gas Plant,0,0.13,777.55
6,8,Kamloops,0,0.13,467.66
6,9,Castlegar,0,-1.48,-53248.59
6,10,Elkford,0,0.13,515.76
8,1,Terrace,0,0.14,1186.95
8,2,Vancouver,0,0.14,554.68
8,3,Mackenzie,0,0.15,1091.51
8,4,Prince George,0,0.14,865.81
8,5,Quesnel,0,0.14,707.32
8,6,Williams Lake,0,0.14,588.93
8,7,McMahon Gas Plant,0,0.14,874.10
8,8,Kamloops,0,0.14,564.22
8,9,Castlegar,0,-1.46,-53152.04
8,10,Elkford,0,0.15,612.30
9,1,Terrace,0,0.10,886.68
9,2,Vancouver,0,0.10,254.41
9,3,Mackenzie,0,0.10,791.25
9,4,Prince George,0,0.10,565.53
9,5,Quesnel,0,0.10,407.04
9,6,Williams Lake,0,0.10,288.66
9,7,McMahon Gas Plant,0,0.09,573.82
9,8,Kamloops,0,0.10,263.94
9,9,Castlegar,0,-1.51,-53452.31
9,10,Elkford,0,0.10,312.04
10,1,Terrace,0,0.01,51.91
10,2,Vancouver,0,0.00,-580.36
10,3,Mackenzie,0,0.00,-30.74
10,4,Prince George,0,0.00,-269.24
10,5,Quesnel,0,0.00,-427.73
10,6,Williams Lake,0,0.00,-546.12
10,7,McMahon Gas Plant,0,0.00,98.84
10,8,Kamloops,0,0.01,-570.83
10,9,Castlegar,0,-1.60,-54287.09
10,10,Elkford,0,0.00,-522.74
11,1,Terrace,0,0.01,51.91
11,2,Vancouver,0,0.00,-580.36
11,3,Mackenzie,0,0.00,-30.74
11,4,Prince George,0,0.00,-269.24
11,5,Quesnel,0,0.00,-427.73
11,6,Williams Lake,0,0.00,-546.12
11,7,McMahon Gas Plant,0,0.00,98.84
11,8,Kamloops,0,0.01,-570.83
11,9,Castlegar,0,-1.60,-54287.09
11,10,Elkford,0,0.00,-522.74
12,1,Terrace,0,0.01,51.91
12,2,Vancouver,0,0.00,-580.36
12,3,Mackenzie,0,0.00,-30.74
12,4,Prince George,0,0.00,-269.24
12,5,Quesnel,0,0.00,-427.73
12,6,Williams Lake,0,0.00,-546.12
12,7,McMahon Gas Plant,0,0.00,98.84
12,8,Kamloops,0,0.01,-570.83
12,9,Castlegar,0,-1.60,-54287.09
12,10,Elkford,0,0.00,-522.74
13,1,Terrace,0,0.03,154.95
13,2,Vancouver,0,0.03,-477.31
13,3,Mackenzie,0,0.03,72.31
13,4,Prince George,0,0.03,-166.18
13,5,Quesnel,0,0.04,-324.67
13,6,Williams Lake,0,0.03,-443.06
13,7,McMahon Gas Plant,0,0.03,201.89
13,8,Kamloops,0,0.03,-467.77
13,9,Castlegar,0,-1.57,-54184.03
13,10,Elkford,0,0.03,-419.69
14,1,Terrace,0,0.01,51.91
